word,phonetic,translation,level,example,partOfSpeech,definition,synonyms,antonyms
birth,/bɜːθ/,出生 ,B1,It was a difficult birth.,noun,the time when a baby or young animal comes out of its mother's body:,give birth,
apartment,/əˈpɑːt.mənt/,公寓,B1,I'll give you the keys to my apartment.,noun,"a set of rooms for living in, especially on one floor of a building:",,
arrange,/əˈreɪndʒ/,安排,B1,I'm trying to arrange my work so that I can have a couple of days off next week.,verb,"to plan, prepare for, or organize something:",,
birthday,/ˈbɜːθ.deɪ/,生日 ,B1,"Happy birthday, Flavio!",noun,the day that is exactly a year or number of years after a person was born:,,
affair,/əˈfeər/,事务 ,B1,"As a leader, he's been criticized for his inexperience in foreign affairs.",noun,a situation or subject that is being dealt with or considered:,,
amazing,/əˈmeɪ.zɪŋ/,惊人的 ,B1,This stain remover really works - it's amazing!,adjective,extremely surprising:,,
animal,/ˈæn.ɪ.məl/,动物 ,B1,wild/domestic animals,noun,"something that lives and moves but is not a human, bird, fish, or insect:",,
cable,/ˈkeɪ.bəl/,电缆,B1,a length of cable,noun,"a set of wires, covered by plastic, that carries electricity, phone signals, etc.:",,
body,/ˈbɒd.i/,身体 ,B1,A good diet and plenty of exercise will help you to keep your body healthy.,noun,the whole physical structure that forms a person or animal:,,
arrangement,/əˈreɪndʒ.mənt/,安排 ,B1,They'd made all the arrangements for the party.,noun,a plan for how something will happen:,,
advise,/ədˈvaɪz/,建议 ,B1,I think I'd advise him to leave the company.,verb,to give someone advice:,,
boy,/bɔɪ/,男生 ,B1,a teenage/adolescent boy,noun,"a male child or, more generally, a male of any age:",,
accompany,/əˈkʌm.pə.ni/,陪伴,B1,The course books are accompanied by four CDs.,verb,to go with someone or to be provided or exist at the same time as something:,,
alcoholic,/ˌæl.kəˈhɒl.ɪk/,酒鬼 ,B1,alcoholic drinks,adjective,containing alcohol:,dipsomaniac,
admire,/ədˈmaɪər/,钦佩 ,B1,"We stood for a few moments, admiring the view.",verb,to find someone or something attractive and pleasant to look at:,,
addition,/əˈdɪʃ.ən/,添加,B1,Twice a week the children are tested in basic mathematical skills such as addition (= calculating the total of different numbers put together) and subtraction.,noun,the process of adding numbers or amounts together:,,
art,/ɑːt/,艺术 ,B1,Can television and pop music really be considered art?,noun,"the making of objects, images, music, etc. that are beautiful or that express feelings:",,
bottom,/ˈbɒt.əm/,底部 ,B1,He stood at the bottom of the stairs and called up to me.,"noun, adjective",the lowest part of something:,,
below,/bɪˈləʊ/,以下 ,B1,From the top of the skyscraper the cars below us looked like insects.,"adverb, preposition","in a lower position (than), under:",,
bone,/bəʊn/,骨 ,B1,The child was so thin that you could see her bones.,noun,any of the hard parts inside a human or animal that make up its frame:,,
biology,/baɪˈɒl.ə.dʒi/,生物学 ,B1,human biology,noun,the scientific study of the natural processes of living things:,,
advertisement,/ədˈvɜː.tɪs.mənt/,广告 ,B1,I saw an advertisement for the new restaurant that opened in town.,noun,"a picture, short film, song, etc. that tries to persuade people to buy a product or service:",,
and,/ænd/,和 ,B1,Ann and Jim,conjunction,"used to join two words, phrases, parts of sentences, or related statements together:",,
almost,/ˈɔːl.məʊst/,几乎 ,B1,She's almost 30.,adverb,nearly:,,
available,/əˈveɪ.lə.bəl/,可用的,B1,Is this dress available in a larger size?,adjective,able to be bought or used:,,
against,/əˈɡenst/,反对 ,B1,She spoke against the decision to close the college.,preposition,disagreeing with a plan or activity:,,
agency,/ˈeɪ.dʒən.si/,机构 ,B1,an advertising/employment/estate/travel agency,noun,a business that represents one group of people when dealing with another group:,,
believe,/bɪˈliːv/,相信 ,B1,"Strangely, no one believed us when we told them we'd been visited by a creature from Mars.",verb,"to think that something is true, correct, or real:",,
belief,/bɪˈliːf/,信仰 ,B1,His belief in God gave him hope during difficult times.,noun,the feeling of being certain that something exists or is true:,,
account,/əˈkaʊnt/,帐户 ,B1,I withdrew my money and asked the bank to close my account.,noun,an arrangement with a bank to keep your money there and to allow you to take it out when you need to:,judge,
boil,/bɔɪl/,熬 ,B1,Liquid nitrogen boils at a very low temperature.,verb,"to reach, or cause something to reach, the temperature at which a liquid starts to turn into a gas:",,
attitude,/ˈæt.ɪ.tʃuːd/,态度 ,B1,It's often very difficult to change people's attitudes.,noun,"a feeling or opinion about something or someone, or a way of behaving that is caused by this:",,
annual,/ˈæn.ju.əl/,年度的 ,B1,an annual event/visit/holiday,adjective,happening once every year:,,
advice,/ədˈvaɪs/,建议,B1,I need some advice on which computer to buy.,noun,an opinion that someone offers you about what you should do or how you should act in a particular situation:,,
August,/ˈɔː.ɡəst/,八月 ,B1,They usually go to their holiday home in August.,noun,"the eighth month of the year, after July and before September:",,
accuse,/əˈkjuːz/,控 ,B1,"""It wasn't my fault."" ""Don't worry, I'm not accusing you.""",verb,"to say that someone has done something morally wrong, illegal, or unkind:",,
across,/əˈkrɒs/,穿过,B1,She walked across the field/road.,"preposition, adverb","from one side to the other of something with clear limits, such as an area of land, a road, or a river:",,
above,/əˈbʌv/,多于 ,B1,There's a mirror above the sink.,"preposition, adverb",in or to a higher position than something else:,,
all,/ɔːl/,全部,B1,I've been trying all day to contact you.,"determiner, pronoun","every one (of), or the complete amount or number (of), or the whole (of):",,
beginning,/bɪˈɡɪn.ɪŋ/,开始 ,B1,Notes on how to use this dictionary can be found at the beginning of the book.,noun,the first part of something or the start of something:,,
bit,/bɪt/,少量 ,B1,The glass smashed into little bits.,noun,a small piece or amount of something:,,
aunt,/ɑːnt/,阿姨 ,B1,I have an aunt in Australia.,noun,"the sister of someone's father or mother, or the wife of someone's uncle or aunt:",,
beef,/biːf/,牛肉,B1,The spaghetti sauce is made with minced (US ground) beef.,noun,"the flesh of cattle (= cows), eaten as food:",,
average,/ˈæv.ər.ɪdʒ/,平均的 ,B1,"The average of the three numbers 7, 12, and 20 is 13, because the total of 7, 12, and 20 is 39, and 39 divided by 3 is 13.","adjective, noun",the result you get by adding two or more amounts together and dividing the total by the number of amounts:,,
ambition,/æmˈbɪʃ.ən/,志向,B1,He has already achieved his main ambition in life - to become wealthy.,noun,a strong wish to achieve something:,,
border,/ˈbɔː.dər/,边界 ,B1,Were you stopped at the border?,noun,a line that has been agreed to divide one country from another:,,
associated,/əˈsəʊ.si.eɪ.tɪd/,联系,B1,"She was prepared to take on the job, with all its associated risks.",adjective,connected:,,
afraid,/əˈfreɪd/,害怕的 ,B1,She was afraid for her children (= feared that they might be hurt).,adjective,"feeling fear, or feeling worry about the possible results of a particular situation:",,
arrest,/əˈrest/,逮捕 ,B1,He was arrested when customs officers found drugs in his bag.,"verb, noun","If the police arrest someone, they take them away to ask them about a crime that they might have committed:",,
bar,/bɑːr/,酒吧,B1,They noticed him going into the hotel bar.,noun,"a place where drinks, especially alcoholic drinks, are sold and drunk, or the area in such a place where the person serving the drinks stands:",,
cake,/keɪk/,蛋糕 ,B1,Would you like a piece of/a slice of/some cake?,noun,"a sweet food made with a mixture of flour, eggs, fat, and sugar:",coat,
ability,/əˈbɪl.ə.ti/,能力 ,B1,There's no doubting her ability.,noun,the physical or mental power or skill needed to do something:,,
arrive,/əˈraɪv/,到达 ,B1,What time will your train arrive?,verb,"to reach a place, especially at the end of a journey:",,
adapt,/əˈdæpt/,适应 ,B1,Davies is busy adapting Brinkworth's latest novel for television.,verb,"to change, or to change something, to suit different conditions or uses:",,
add,/æd/,添加 ,B1,It's $45 - $50 if you add in the cost of postage.,verb,to put two or more numbers or amounts together to get a total:,ADHD,
blow,/bləʊ/,吹,B1,The letter blew away and I had to run after it.,verb,"to move and make currents of air, or to be moved or make something move on a current of air:",,
artistic,/ɑːˈtɪs.tɪk/,艺术,B1,the artistic director of the theatre,adjective,relating to art:,,
attraction,/əˈtræk.ʃən/,吸引力 ,B1,"Life in Los Angeles has so many attractions - nightclubs, good restaurants, and so on.",noun,something that makes people want to go to a place or do a particular thing:,,
agent,/ˈeɪ.dʒənt/,代理人,B1,Please contact our agent in Spain for further information.,noun,a person who acts for or represents another:,,
app,/æp/,应用程序 ,B1,You can run an app on your PC that will find the files and burn them to a CD.,noun,abbreviation for application: a computer program that is designed for a particular purpose:,,
aid,/eɪd/,援助 ,B1,"teaching aids, such as books and videos","noun, verb",a piece of equipment that helps you to do something:,,
black,/blæk/,黑色的 ,B1,black shoes,"adjective, noun","having the darkest colour there is, like the colour of coal or of a very dark night:",,
beyond,/biˈjɒnd/,超过 ,B1,"In the distance, beyond the river, was a small town.","preposition, adverb",further away in the distance (than something):,,
afterwards,/ˈɑːf.tə.wədz/,然后 ,B1,"We had tea, and afterwards we sat in the garden for a while.",adverb,after the time mentioned:,,
activity,/ækˈtɪv.ə.ti/,活动 ,B1,Economists are concerned by the low level of economic activity.,noun,the situation in which a lot of things are happening or people are moving around:,,
aircraft,/ˈeə.krɑːft/,飞机 ,B1,military aircraft,noun,"any vehicle, with or without an engine, that can fly, such as a plane or helicopter:",,
analyse,/ˈæn.əl.aɪz/,分析 ,B1,"Researchers analysed the purchases of 6,300 households.",verb,to study or examine something in detail in order to discover or understand more about it:,psychoanalyse,
beat,/biːt/,打 ,B1,Simon always beats me at tennis.,verb,to defeat or do better than:,bushed,
bill,/bɪl/,账单,B1,an electricity/gas/phone bill,noun,"a request for payment of money owed, or the piece of paper on which it is written:",,
approval,/əˈpruː.vəl/,赞同,B1,He showed his approval by smiling broadly.,noun,the feeling of having a positive opinion of someone or something:,,
among,/əˈmʌŋ/,之中 ,B1,I saw a few familiar faces among the crowd.,preposition,in the middle of or surrounded by other things:,,
anxious,/ˈæŋk.ʃəs/,焦虑的,B1,My mother always gets a bit anxious if we don't arrive when we say we will.,adjective,worried and nervous:,,
beach,/biːtʃ/,海滩 ,B1,We spent the day on the beach.,noun,an area of sand or small stones near the sea or another area of water such as a lake:,,
architect,/ˈɑː.kɪ.tekt/,建筑师 ,B1,Bevan was the architect of the British National Health Service.,noun,a person whose job is to design new buildings and make certain that they are built correctly,,
application,/ˌæp.lɪˈkeɪ.ʃən/,应用,B1,a letter of application,noun,"an official request for something, usually in writing:",,
amazed,/əˈmeɪzd/,惊讶 ,B1,She was amazed at how calm she felt after the accident.,adjective,extremely surprised:,,
amount,/əˈmaʊnt/,数量,B1,They didn't deliver the right amount of sand.,noun,"a collection or mass, especially of something that cannot be counted:",,
bell,/bel/,钟,B1,I stood at the front door and rang the bell several times.,noun,an electrical device that makes a ringing sound when you press a button:,glockenspiel,
audience,/ˈɔː.di.əns/,观众,B1,She lectures to audiences all over the world.,noun,"the group of people together in one place to watch or listen to a play, film, someone speaking, etc.:",,
administration,/ədˌmɪn.ɪˈstreɪ.ʃən/,行政,B1,Teachers complain that more of their time is taken up with administration than with teaching.,noun,the arrangements and tasks needed to control the operation of a plan or organization:,,
adult,/ˈæd.ʌlt/,成人 ,B1,An adult under English law is someone over 18 years old.,noun,a person or animal that has grown to full size and strength:,grown-up,
adopt,/əˈdɒpt/,采纳,B1,They've adopted a baby girl.,verb,to legally take another person's child into your own family and take care of him or her as your own child:,,
best,/best/,最好的 ,B1,This is the best meal I've ever had.,adjective,"of the highest quality, or being the most suitable, pleasing, or effective type of thing or person:",,
benefit,/ˈben.ɪ.fɪt/,益处 ,B1,The discovery of oil brought many benefits to the town.,noun,"a helpful or good effect, or something intended to help:",,
achievement,/əˈtʃiːv.mənt/,成就,B1,It gives you a sense of achievement if you actually make it to the end of a very long book.,noun,something very good and difficult that you have succeeded in doing:,,
abandon,/əˈbæn.dən/,放弃 ,B1,We had to abandon the car.,verb,"to leave a place, thing, or person, usually for ever:",,
basketball,/ˈbɑː.skɪt.bɔːl/,篮球 ,B1,He walked along bouncing a basketball.,noun,a game played by two teams of five players who score points by throwing a large ball through an open net hanging from a metal ring,,
beer,/bɪər/,啤酒 ,B1,He asked for a pint of beer.,noun,an alcoholic drink made from grain and hops (= a type of plant):,,
behaviour,/bɪˈheɪ.vjər/,行为 ,B1,Her behaviour is often appalling.,noun,the way that someone behaves:,,
absolute,/ˈæb.sə.luːt/,绝对 ,B1,a man of absolute integrity/discretion,adjective,very great or to the largest degree possible:,,
award,/əˈwɔːd/,奖,B1,Carlos was awarded first prize in the essay competition.,noun,to give money or a prize following an official decision:,,
being,/ˈbiː.ɪŋ/,存在,B1,A nuclear war would kill millions of living beings.,noun,a person or thing that exists:,,
afford,/əˈfɔːd/,买得起 ,B1,I don't know how he can afford a new car on his salary.,verb,to be able to buy or do something because you have enough money or time:,,
between,/bɪˈtwiːn/,之间 ,B1,The town lies halfway between Rome and Florence.,preposition,"in or into the space that separates two places, people, or objects:",,
appointment,/əˈpɔɪnt.mənt/,预约 ,B1,"I'd like to make an appointment with Dr Evans, please.",noun,a formal arrangement to meet or visit someone at a particular time and place:,,
basis,/ˈbeɪ.sɪs/,基础 ,B1,This document will form the basis for our discussion.,noun,"the most important facts, ideas, etc. from which something is developed:",,
agreement,/əˈɡriː.mənt/,协议 ,B1,The whole family was in agreement with her about/on what they should do.,noun,"the situation in which people have the same opinion, or in which they approve of or accept something:",,
arise,/əˈraɪz/,出现,B1,"If the opportunity arises, I'd love to go to China.",verb,to start to happen or exist:,,
alive,/əˈlaɪv/,活 ,B1,She's alive and well and living in New Zealand.,adjective,"living, not dead:",,
anyway,/ˈen.i.weɪ/,反正,B1,Of course I don't mind taking you home - I'm going that way anyway.,adverb,"whatever else is happening, without considering other things:",,
actually,/ˈæk.tʃu.ə.li/,实际上 ,B1,I didn't actually see her - I just heard her voice.,adverb,in fact or really:,,
banana,/bəˈnɑː.nə/,香蕉 ,B1,a bunch of bananas,noun,"a long, curved fruit with a yellow skin and soft, sweet, white flesh inside:",,
ahead,/əˈhed/,前方,B1,The road ahead is very busy.,adverb,in front:,,
autumn,/ˈɔː.təm/,秋天 ,B1,We like to travel in (the) autumn when there are fewer tourists.,noun,"the season of the year between summer and winter, lasting from September to November north of the equator and from March to May south of the equator, when fruits and crops become ready to eat and are picked, and leaves fall:",,
ah,/ɑː/,啊 ,B1,"Ah, I see.",exclam.,"used to express understanding, pleasure, pain, surprise, or the fact that you have noticed something:",,
bacteria,/bækˈtɪə.ri.ə/,细菌 ,B1,This is an example sentence using the word 'bacteria'.,noun,"plural of
bacterium",,
blame,/bleɪm/,责备 ,B1,Don't blame me (= it is not my fault) if you miss the bus!,"verb, noun",to say or think that someone or something did something wrong or is responsible for something bad happening:,,
biscuit,/ˈbɪs.kɪt/,饼干,B1,chocolate/ginger biscuits,noun,"a small, flat cake that is dry and usually sweet:",puck,
calculate,/ˈkæl.kjə.leɪt/,计算,B1,The cost of the damage caused by the recent storms has been calculated as/at over £5 million.,verb,"to judge the number or amount of something by using the information that you already have, and adding, taking away, multiplying, or dividing numbers:",compute,
born,/bɔːn/,出生 ,B1,She was born in 1950.,verb,"to come out of a mother's body, and start to exist:",,
bother,/ˈbɒð.ər/,打扰 ,B1,He hasn't even bothered to write.,verb,to make the effort to do something:,,
action,/ˈæk.ʃən/,行动 ,B1,This problem calls for swift/prompt action from the government.,noun,"the process of doing something, especially when dealing with a problem or difficulty:",,
actual,/ˈæk.tʃu.əl/,实际的 ,B1,"We had estimated about 300 visitors, but the actual number was much higher.",adjective,existing in fact:,real (NOT IMAGINARY),
band,/bænd/,乐队 ,B1,a jazz/rock band,noun,a group of musicians who play modern music together:,,
as,/æz/,作为 ,B1,She'll soon be as tall as her mother.,preposition,used in comparisons to refer to the degree of something:,,
appearance,/əˈpɪə.rəns/,外貌 ,B1,It was his first appearance on television/television appearance as president.,noun,an occasion when someone appears in public:,,
anywhere,/ˈen.i.weər/,任何地方 ,B1,You won't find a better plumber anywhere in England.,"adverb, pronoun","in, to, or at any place:",,
atmosphere,/ˈæt.mə.sfɪər/,气氛 ,B1,These factories are releasing toxic gases into the atmosphere.,noun,the mixture of gases around the earth:,,
arms,/ɑːmz/,武器,B1,They have been charged with supplying arms to the guerrillas.,noun,weapons and equipment used to kill and injure people:,weaponry,
accept,/əkˈsept/,接受 ,B1,Do you accept credit cards?,verb,to agree to take something:,,
advanced,/ədˈvɑːnst/,先进的,B1,This is the most advanced type of engine available.,adjective,modern and well developed:,,
also,/ˈɔːl.səʊ/,还 ,B1,She's a photographer and also writes books.,adverb,in addition:,too,
belt,/belt/,腰带,B1,She fastened her belt tightly around her waist.,noun,a strip of leather or material worn around the waist to support clothes or for decoration:,,
allow,/əˈlaʊ/,允许 ,B1,Do you think Dad will allow you to go to Jamie's party?,verb,"to give permission for someone to do something, or to not prevent something from happening:",,
admit,/ədˈmɪt/,承认 ,B1,He admitted his guilt/mistake.,verb,"to agree that something is true, especially unwillingly:",,
approximately,/əˈprɒk.sɪ.mət.li/,大约 ,B1,"The job will take approximately three weeks, and cost approximately £1,000.",adverb,close to a particular number or time although not exactly that number or time:,,
air,/eər/,空气,B1,I went outside to get some fresh air.,noun,the mixture of gases that surrounds the earth and that we breathe:,,
buy,/baɪ/,买,B1,Eventually she had saved enough money to buy a small car.,verb,to get something by paying money for it:,,
bent,/bent/,弯曲,B1,The metal bars were bent and twisted.,adjective,"past simple and past participle of 
bend",knack,
alter,/ˈɒl.tər/,改变,B1,We've had to alter some of our plans.,verb,"to change something, usually slightly, or to cause the characteristics of something to change:",,
bottle,/ˈbɒt.əl/,瓶子,B1,a milk bottle,noun,"a container for liquids, usually made of glass or plastic, with a narrow neck:",,
appreciate,/əˈpriː.ʃi.eɪt/,欣赏,B1,There's no point buying him expensive wines - he doesn't appreciate them.,verb,to recognize how good someone or something is and to value them or it:,,
at,/æt/,在,B1,We'll meet you at the entrance.,preposition,used to show an exact position or particular place:,,
blonde,/blɒnd/,金发 ,B1,Her blonde hair was tied back with a blue silk scarf.,adjective,pale yellow or gold in colour:,,
arrival,/əˈraɪ.vəl/,到达,B1,Hundreds gathered to await the boxer's arrival at the airport.,noun,the fact of arriving somewhere:,,
academic,/ˌæk.əˈdem.ɪk/,学术的,B1,academic subjects/qualifications/books,adjective,"relating to schools, colleges, and universities, or connected with studying and thinking, not with practical skills:",,
address,/əˈdres/,地址 ,B1,her business/home address,noun,"the number of the house, name of the road, and name of the town where a person lives or works, and where letters can be sent:",,
bedroom,/ˈbed.ruːm/,卧室 ,B1,Our home has three bedrooms.,noun,a room used for sleeping in:,,
branch,/brɑːntʃ/,分支 ,B1,Immunology is a branch of biological science.,noun,a part of something larger:,,
based,/ -beɪst/,基于 ,B1,a Manchester-based company,adjective,"used to form adjectives showing the main place or area in which something or someone works, lives, or does business:",,
behave,/bɪˈheɪv/,表现,B1,She always behaves well/badly when her aunts come to visit.,verb,to act in a particular way:,,
assess,/əˈses/,评估,B1,The insurers will need to assess the flood damage.,verb,"to judge or decide the amount, value, quality, or importance of something:",,
album,/ˈæl.bəm/,专辑 ,B1,Have you heard their new album?,noun,"a collection of several pieces of music, made available as a single item on a CD, the internet, etc.:",,
bored,/bɔːd/,无聊的,B1,"It was a cold, wet day and the children were bored.",adjective,"feeling unhappy because something is not interesting or because you have nothing to do, or showing that you feel like this:",,
ad,/æd/,广告,B1,I often prefer the ads on TV to the actual programmes.,noun,informal for an advertisement:,,
cafe,/ˈkæf.eɪ/,咖啡店 ,B1,There's a little café on the corner that serves very good coffee.,noun,a restaurant where simple and usually quite cheap meals are served:,,
bike,/baɪk/,自行车 ,B1,It would be better for the environment if more people used bikes rather than cars.,noun,a bicycle:,,
bond,/bɒnd/,纽带 ,B1,There has been a close bond between them ever since she saved him from drowning.,noun,a close connection joining two or more people:,,
attract,/əˈtrækt/,吸引,B1,These flowers are brightly coloured in order to attract butterflies.,verb,"(of people, things, places, etc.) to pull or draw someone or something towards them, by the qualities they have, especially good ones:",,
attention,/əˈten.ʃən/,注意力 ,B1,They're organizing a campaign to draw people's attention to the environmentally harmful effects of using their cars.,"noun, exclam.","notice, thought, or interest:",,
area,/ˈeə.ri.ə/,区域,B1,All areas of the country will have some rain tonight.,noun,"a particular part of a place, piece of land, or country:",,
accurate,/ˈæk.jə.rət/,准确的,B1,an accurate machine,adjective,"correct, exact, and without any mistakes:",,
airline,/ˈeə.laɪn/,航空公司 ,B1,What airline did you fly with?,noun,a business that operates regular services for carrying passengers and/or goods by aircraft:,,
belong,/bɪˈlɒŋ/,属于 ,B1,This table belongs in the sitting room.,verb,to be in the right place or a suitable place:,,
begin,/bɪˈɡɪn/,开始 ,B1,What time does the concert begin?,verb,to start to happen or exist:,,
arm,/ɑːm/,手臂 ,B1,He held her in his arms (= held her closely).,noun,either of the two long parts of the upper body that are attached to the shoulders and have the hands at the end:,,
before,/bɪˈfɔːr/,前 ,B1,You should always wash your hands before meals.,preposition,at or during a time earlier than (the thing mentioned):,,
bird,/bɜːd/,鸟,B1,caged/wild birds,noun,"a creature with feathers and wings, usually able to fly:",,
basically,/ˈbeɪ.sɪ.kəl.i/,基本上,B1,"Basically, (= the most important thing is that) they want a lot more information about the project before they'll put any money into it.",adverb,used when referring to the main or most important characteristic or feature of something:,,
annoyed,/əˈnɔɪd/,恼火 ,B1,I was so annoyed with him for turning up late.,adjective,angry:,,
book,/bʊk/,书,B1,Have you read any good books recently?,noun,a written text that can be published in printed or electronic form:,,
bitter,/ˈbɪt.ər/,苦的,B1,I feel very bitter about my childhood and all that I went through.,adjective,Someone who is bitter is angry and unhappy because they cannot forget bad things that happened in the past:,,
badly,/ˈbæd.li/,糟糕 ,B1,She was badly affected by the events in her childhood.,adverb,in a severe and harmful way:,,
ask,/ɑːsk/,问,B1,She asked me a question.,verb,"to put a question to someone, or to request an answer from someone:",,
alternative,/ɒlˈtɜː.nə.tɪv/,选择 ,B1,The opposition parties have so far failed to set out an alternative strategy.,noun,An alternative plan or method is one that you can use if you do not want to use another one:,option,
adventure,/ədˈven.tʃər/,冒险 ,B1,They went on an adventure hunting for treasure in the western hills.,noun,"an unusual, exciting, and possibly dangerous activity, such as a trip or experience, or the excitement produced by such an activity:",escapade,
bad,/bæd/,坏的,B1,Our holiday was spoiled by bad weather.,adjective,unpleasant and causing difficulties:,,
bed,/bed/,床,B1,"He lived in a room with only two chairs, a bed, and a table.",noun,"a large, rectangular piece of furniture, often with four legs, used for sleeping on:",,
baseball,/ˈbeɪs.bɔːl/,棒球,B1,Jake never played baseball like the other kids.,noun,"a game played especially in North America by two teams of nine players, in which a player hits a ball with a bat (= stick) and tries to run around four bases on a large field before the other team returns the ball:",,
appeal,/əˈpiːl/,上诉 ,B1,They're launching (= starting) an appeal to raise money for famine victims.,"noun, verb","a request to the public for money, information, or help:",,
appropriate,/əˈprəʊ.pri.ət/,合适的 ,B1,appropriate footwear for the country,adjective,suitable or right for a particular situation or occasion:,,
about,/əˈbaʊt/,关于 ,B1,He's always going on about what a great job he's got.,"preposition, adverb","on the subject of, or connected with:",,
apply,/əˈplaɪ/,申请 ,B1,We've applied for a grant to get funding for the project.,verb,"to request something, usually officially, especially in writing or by sending in a form:",,
artificial,/ˌɑː.tɪˈfɪʃ.əl/,人造的 ,B1,clothes made of artificial fibres,adjective,"made by people, often as a copy of something natural:",,
again,/əˈɡen/,再次,B1,"Could you spell your name again, please?",adverb,one more time:,,
auxiliary,/ɔːɡˈzɪl.i.ə.ri/,辅助的 ,B1,auxiliary staff/nurses,verb,"giving help or support, especially to a more important person or thing:",ancillary,
ago,/əˈɡəʊ/,前 ,B1,He left the house over an hour ago.,adverb,back in time from the present:,,
appear,/əˈpɪər/,出现,B1,He suddenly appeared in the doorway.,verb,to start to be seen or to be present:,,
association,/əˌsəʊ.siˈeɪ.ʃən/,协会 ,B1,The Football Association,noun,a group of people who work together in a single organization for a particular purpose:,,
always,/ˈɔːl.weɪz/,总是,B1,It's always cold in this room.,adverb,every time or all the time:,,
anniversary,/ˌæn.ɪˈvɜː.sər.i/,周年纪念日 ,B1,We always celebrate our wedding anniversary with dinner in an expensive restaurant.,noun,the day on which an important event happened in a previous year:,,
back,/bæk/,后退 ,B1,He looked back and saw they were following him.,"noun, adverb","in, into, or towards a previous place or condition, or an earlier time:",,
barrier,/ˈbær.i.ər/,障碍 ,B1,Barriers have been erected all along the route the Pope will take.,noun,"a long pole, fence, wall, or natural feature, such as a mountain or sea, that stops people from going somewhere:",,
bag,/bæɡ/,包 ,B1,a paper/plastic bag,noun,"a soft container made out of paper or thin plastic, and open at the top, used to hold foods and other goods:",basket,
argue,/ˈɑːɡ.juː/,争论 ,B1,They were arguing over which film to go and see.,verb,"to speak angrily to someone, telling that person that you disagree with them:",,
additional,/əˈdɪʃ.ən.əl/,额外的 ,B1,additional costs/problems,adjective,extra:,,
announce,/əˈnaʊns/,宣布 ,B1,They announced the death of their mother in the local paper.,verb,to make something known or tell people about something officially:,,
asleep,/əˈsliːp/,睡着了 ,B1,I'm surprised to see you awake - ten minutes ago you were fast/sound (= completely) asleep.,adjective,sleeping or not awake:,,
ambitious,/æmˈbɪʃ.əs/,雄心勃勃 ,B1,an ambitious young lawyer,adjective,"having a strong wish to be successful, powerful, or rich:",,
avoid,/əˈvɔɪd/,避免 ,B1,I try to avoid supermarkets on Saturdays - they're always so busy.,verb,to stay away from someone or something:,,
although,/ɔːlˈðəʊ/,虽然 ,B1,"She walked home by herself, although she knew that it was dangerous.",conjunction,despite the fact that:,,
annoying,/əˈnɔɪ.ɪŋ/,恼人的,B1,It's really annoying when a train is late and there's no explanation.,adjective,making you feel slightly angry:,,
background,/ˈbæk.ɡraʊnd/,背景,B1,The little figure that you can just see in the background of the photograph is me.,noun,the things that can be seen behind the main things or people in a picture:,,
aggressive,/əˈɡres.ɪv/,挑衅的 ,B1,The stereotype is that men tend to be more aggressive than women.,adjective,showing anger and a willingness to attack other people:,,
balance,/ˈbæl.əns/,平衡 ,B1,The toddler wobbled and lost his balance (= started to fall sideways).,"noun, verb","the ability to remain standing, especially because your weight is equally distributed (= spread):",equilibrium,
assistant,/əˈsɪs.tənt/,助手 ,B1,an administrative/office assistant,"noun, adjective",someone who helps someone else to do a job:,helper,
blue,/bluː/,蓝色的 ,B1,a faded blue shirt,"adjective, noun","of the colour of the sky without clouds on a bright day, or a darker or lighter type of this:",,
